Frage;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;C7;C8;C9;C10;C11;C12;C13;C14;D0;E15;E16;E17;E18;E19;E20;E21;E22;F23;F24;F25;F26;F27;G0;H28;H29;H30;H31;H32;H33;I_sex;I_age;I_living_place;I_country
Fragebogen 11;4;4;2;1;1;4;4;4;3;2;3;4;4;4;4;4;4;4;1;4;4;4;4;4;4;2;2;3;4;4;4;4;4;4;4;4;4;3;1;4;1;4;4;4;2;4;4;1;26;Vienna;DE
Fragebogen 12;4;4;3;2;3;4;4;4;3;2;3;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;2;3;4;4;4;4;4;4;4;4;4;4;1;4;1;4;4;4;2;4;4;2;23;Vienna;A
Fragebogen 13;4;4;2;3;4;4;4;4;4;1;1;2;4;4;4;4;4;4;1;4;4;4;4;3;4;2;2;2;2;4;4;4;4;3;4;3;3;3;1;4;2;4;4;3;2;4;4;2;21;NÖ;A
Fragebogen 14;4;4;4;2;4;4;4;4;4;4;4;4;2;2;4;3;3;1;2;2;3;3;3;2;3;3;2;2;2;2;3;2;3;3;3;2;1;2;2;3;2;2;2;2;2;2;2;2;22;NÖ;A
Fragebogen 15;2;1;2;2;3;4;4;4;3;1;1;4;4;3;4;4;4;4;1;3;4;4;3;3;4;2;1;3;3;4;3;4;4;4;4;4;3;2;2;4;2;4;4;3;2;4;4;1;21;NÖ;A
Fragebogen 16;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;1;26;Vienna;DE
Fragebogen 17;4;4;4;2;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;1;3;3;3;4;3;4;4;4;4;4;3;3;1;4;1;2;3;4;4;4;4;1;30;Vienna;A
Fragebogen 18;4;4;4;2;4;4;4;4;3;1;4;4;4;4;4;4;4;3;1;4;4;4;4;4;3;2;2;3;4;4;4;4;4;4;4;4;4;3;1;4;2;4;4;4;2;4;2;1;25;Vienna;A
Fragebogen 19;3;2;2;1;4;4;3;4;2;2;3;4;4;3;4;4;4;4;1;4;4;4;4;4;3;2;2;3;4;4;4;4;4;4;4;4;3;2;1;4;1;4;4;4;2;4;4;1;27;Vienna;A
Fragebogen 20;4;4;1;4;4;2;4;4;4;1;2;4;4;3;4;4;4;4;1;3;4;4;4;4;2;2;2;3;2;4;3;4;4;4;4;3;2;2;2;3;2;3;4;2;1;4;3;1;21;Vienna;A
